rank,company,website,city,state,decision_maker,role,verified_email,email_source,phone,phone_verified,personalized_observation,likely_vendors_if_evidenced,number_of_locations,why_this_shop,enrichment_status,outreach_status,reply_status,uses_reconciliation_tool,still_chases_manually,next_action
11,Goody's Fleet Solutions,goodysfleetsolutions.com,Tampa,FL,,,,,813-374-8969,No,"Family-owned with a 30,000 square foot garage in Tampa serving the whole Southeast, including North Atlanta.",,2+,"30,000 sq ft facility and a multi-state service footprint — substantial parts throughput, family-owned decision making.",Not started,Not started,,,,"Open site: find owner, public email, verify phone 813-374-8969. NOTE: dedupe against the separate Atlanta page — may be one company."
12,FLA Semi Truck & Trailer Repair,flatruckrepair.com,Tampa,FL,,,,,,,"More than 20 years serving drivers and fleet managers, with shops in Tampa, Orlando and Dade City.",,3,"Three Florida shops, 20+ years. Multi-site parts and core movement across a wide footprint.",Not started,Not started,,,,"Open site: find owner, public email, phone"
13,All American Sleeper,allamericansleeper.com,Tampa,FL,,,,,,,"Family owned and operated since 1943 — over 80 years serving the trucking industry.","Direct distributor accounts implied by parts operation",2,"80+ years of vendor relationships, and they run a parts operation alongside repair — a second reconciliation surface.",Not started,Not started,,,,"Open site: find current owner (multi-generational), public email, phone"
14,Superior Fleet Solutions,superiorfleetsolutions.com,New Braunfels,TX,,,,,,,"Veteran and family owned, with full-service preventive maintenance centers in New Braunfels, San Antonio and San Marcos.",,3,"Three Texas locations; hydraulic repair adds high-value hydraulic cores alongside truck cores. PM programs mean recurring parts volume.",Not started,Not started,,,,"Open site: find owner, public email, phone"
15,Equipment Experts Inc,equipmentexpertsinc.com,Tacoma,WA,,,,,,,"Family-owned and operated since 2005, running a centrally located shop in Lakewood serving the Tacoma area.",,1,"Family-owned one-stop diesel repair and fleet management support — implies meaningful multi-vendor parts volume with no finance staff.",Not started,Not started,,,,"Open site: find owner, public email, phone"
16,OTR Fleet Service,otrfleetservice.com,Houston,TX,,,,,,,"Three Texas shops — Houston, Dallas and San Antonio — plus mobile coverage into Austin and Laredo.",,3,"Three shops plus mobile coverage across five Texas markets. Specialty equipment repair adds another parts channel.",Not started,Not started,,,,"Open site: find owner/GM, public email, phone"
17,Blaine Brothers,blainebrothers.com,Blaine,MN,,,,,,,"More than 45 years in business; runs repair, towing, parts and Capacity spotter service under one roof.","Direct distributor accounts implied by parts sales operation",2+,"45+ years, and runs repair AND parts AND equipment sales — multiple vendor accounts and unusually complex credit flows.",Not started,Not started,,,,"Open site: find owner/GM, public email, phone. Verify size — may be large enough to employ a controller."
18,Betts Truck Parts & Service,bettstruckparts.com,Fontana,CA,,,,,(909) 427-9988,No,"Operates as both a heavy-duty parts distributor and a repair shop, with the Fontana location at 10007 Elm Ave.","Direct manufacturer accounts implied by parts distribution operation",Multi,"Dual parts-distribution and repair role means very high purchasing volume. In the densest truck corridor in the western US.",Not started,Not started,,,,"Open site: verify size and whether they employ a controller BEFORE outreach; find owner/GM, public email"
19,McCarthy Tire Service,mccarthytire.com,Norfolk,VA,,,,,,,"Family-owned and operated since 1926 — nearly a century of vendor relationships.","Tire manufacturers (casing credit programs) — inferred from tire operations",Many,"Tire casing credits fail exactly like cores. But large multi-location footprint — SIZE RISK.",Not started,Deprioritized,,,,"SIZE CHECK FIRST: confirm whether they employ a controller or AP staff. If yes, drop from queue."
20,Wiers Fleet Partners,wiers.com,Milwaukee,WI,,,,,,,"Acquired F-S Truck & Trailer Repair in Milwaukee; operating since 1964 across Indiana, Ohio, Tennessee, Michigan and Wisconsin.",,Many,"Acquisitive multi-state operator — acquisitions create duplicate vendor accounts and merged statements. But almost certainly has central finance. SIZE RISK.",Not started,Deprioritized,,,,"SIZE CHECK FIRST: confirm whether central finance exists. If yes, drop from queue and backfill from Tier B."
