id,tier,score,company_name,website,city,state,main_phone,public_business_email,decision_maker,decision_maker_email,num_locations,services,why_they_qualify,likely_vendors,current_shop_software,personalization_point,source_urls,data_confidence,outreach_status,reply_status,next_action
11,A,8,Schroeder Truck Repair (St. Louis),schroedertrucks.com,St. Louis,MO,,,,,1,"Diesel truck service; fleet services; truck repair","Family-owned since the 1950s with a union workforce — a large, established shop with 70+ years of accumulated vendor relationships and process inertia.","(no public evidence)","(no public evidence)","Family-owned since the 1950s with a union-based workforce.",https://schroedertrucks.com/,"Name/city/tenure/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; identify current-generation owner
12,A,8,Precision Truck & Trailer Repair,precisiontruckut.com,Salt Lake City,UT,(801) 977-0891,,,,1,"Full-service diesel truck & trailer repair; DOT inspections; fleet maintenance; mobile service","Family-owned since 1988 and explicitly not a franchise. Open 7 days a week — high throughput. 35+ years of vendor relationships.","(no public evidence)","(no public evidence)","Family-owned since 1988 and open seven days a week; the site says plainly they are not a franchise, they are a family.",https://precisiontruckut.com/,"Name/city/phone/tenure: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
13,A,8,McCarthy Tire Service,mccarthytire.com,Norfolk,VA,,,,,Many,"Truck fleet mechanical repair; DOT inspections; PM services; diesel engine repair; tires","Family-owned and operated since 1926. Tire operations generate casing credits that fail exactly like cores. Very large multi-location footprint.","Tire manufacturers (casing credit programs) — inferred from tire operations","(no public evidence)","Family-owned and operated since 1926 — nearly a century of vendor relationships.",https://locations.mccarthytire.com/truck-fleet-repair-ffefb817eecf,"Name/tenure/services: search-verified. City is one of many locations. Phone/email: NOT VERIFIED.",Not started,,"May exceed ICP size — verify whether they have a controller before outreach"
14,A,8,Superior Fleet Solutions,superiorfleetsolutions.com,New Braunfels,TX,,,,,3,"HD truck repair; heavy equipment; diesel engines; hydraulic repair; preventive maintenance","Veteran and family owned with three Texas locations (New Braunfels, San Antonio, San Marcos). Hydraulic repair adds high-value hydraulic cores on top of truck cores.","(no public evidence)","(no public evidence)","Veteran and family owned, with full-service preventive maintenance centers in New Braunfels, San Antonio and San Marcos.",https://www.superiorfleetsolutions.com/ | https://www.superiorfleetsolutions.com/about-us,"Name/state/locations/ownership: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; identify owner
15,A,8,Equipment Experts Inc,equipmentexpertsinc.com,Tacoma,WA,,,,,1,"Commercial fleet truck repair; diesel repair; DOT inspections; in-shop repair; fleet management support","Family-owned and operated since 2005; positions itself as a one-stop shop for diesel repair and fleet management support — implies meaningful parts volume across multiple vendors.","(no public evidence)","(no public evidence)","Family-owned and operated since 2005, running a centrally located shop in Lakewood serving the Tacoma area.",https://equipmentexpertsinc.com/ | https://equipmentexpertsinc.com/services/commercial-fleet-truck-repair/,"Name/city/tenure/ownership: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
16,A,8,Betts Truck Parts & Service,bettstruckparts.com,Fontana,CA,(909) 427-9988,,,,Multi,"HD truck repair; parts sales & distribution; semi truck service","Runs BOTH a parts distribution business and a repair shop across multiple West Coast locations. Dual role means very high purchasing volume and complex vendor credit flows.","Direct manufacturer accounts implied by parts distribution operation","(no public evidence)","Operates as both a heavy-duty parts distributor and a repair shop, with the Fontana location at 10007 Elm Ave.",https://bettstruckparts.com/locations/fontana/,"Name/city/address/phone: search-verified. Email/location count: NOT VERIFIED.",Not started,,"Confirm size — may exceed ICP; verify whether they employ a controller"
17,A,8,Wiers Fleet Partners,wiers.com,Milwaukee,WI,,,,,Many,"Light/medium/HD truck & trailer repair; mobile fleet service; 24/7 roadside; aftertreatment; transmissions & drivelines","Since 1964, multi-state (IN, OH, TN, MI, WI). Actively acquiring shops (acquired F-S Truck & Trailer Repair in Milwaukee) — acquisitions create duplicate vendor accounts and merged statements, a prime source of duplicate charges.","(no public evidence)","(no public evidence)","Acquired F-S Truck & Trailer Repair in Milwaukee; operating since 1964 across Indiana, Ohio, Tennessee, Michigan and Wisconsin.",https://www.wiers.com/milwaukee-wi/ | https://www.wiers.com/wiers-acquires-f-s-truck-repair-in-milwaukee-wi/,"Name/tenure/locations/acquisition: search-verified. Phone/email: NOT VERIFIED.",Not started,,"Likely above ICP size — target the corporate controller directly OR deprioritize"
18,A,8,Karen Truck & Trailer Repair,karentruckrepair.com,West Chicago,IL,,,,,2,"Diesel truck repair; PM service; DOT; trailer body repair & rebuilding; dry vans, flatbeds, chassis, straight trucks, moving vans; 24/7 roadside","Two locations (West Chicago and Palatine IL). Trailer rebuilding across many trailer types means broad parts sourcing and heavy vendor mix.","(no public evidence)","(no public evidence)","Two Chicago-area shops (West Chicago and Palatine) doing full trailer body rebuilding on dry vans, flatbeds, chassis and moving vans.",https://www.karentruckrepair.com/,"Name/cities/services/locations: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
19,A,8,Fleet Master Truck & Trailer Repair,gofleetmaster.com,Bedford Park,IL,,,,,2,"HD diesel repair; diesel engines; HD transmission repair; mobile & roadside","Two Chicago-area locations (Bedford Park and Melrose Park). Specialises in heavy-duty transmissions and Detroit engines — very high core values.","(no public evidence)","(no public evidence)","Two Chicago-area shops (Bedford Park and Melrose Park) with a dedicated Detroit engine specialty.",https://www.gofleetmaster.com/ | https://www.gofleetmaster.com/trucks-engines/detroit,"Name/cities/locations/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
20,A,8,OTR Fleet Service,otrfleetservice.com,Houston,TX,,,,,3,"HD truck repair; fleet services; specialty equipment repair; trailer","Three shop locations (Houston, Dallas, San Antonio) plus mobile coverage in Austin and Laredo. Multi-site Texas footprint with specialty equipment work.","(no public evidence)","(no public evidence)","Three Texas shops — Houston, Dallas and San Antonio — plus mobile coverage into Austin and Laredo.",https://www.otrfleetservice.com/locations/houston | https://www.otrfleetservice.com/locations/san-antonio | https://www.otrfleetservice.com/services/speciality-equipment-repair,"Name/cities/locations/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; identify owner/GM
21,B,7,Iron Buffalo Heavy Duty,ironbuffalohd.com,Denver,CO,,,,,2,"HD truck repair; engine diagnostics; transmission & clutch; brakes; electrical; hydraulic; DPF; DOT; 24/7 mobile","Two locations (Denver CO and Kalispell MT) with transmission, clutch, hydraulic and DPF work — all high-core-value categories.","(no public evidence)","(no public evidence)","Runs two shops nearly 1,000 miles apart — Denver, CO and Kalispell, MT.",https://www.ironbuffalohd.com/,"Name/cities/locations/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
22,B,7,Equipment Services of Jacksonville,equipsvcs.com,Jacksonville,FL,,,,,2,"Mobile HD truck & trailer repair; mechanical AND body shop services; 24hr","Two locations (Jacksonville and Palatka FL). Runs both mechanical and body shop — two distinct vendor channels with different credit and return rules.","(no public evidence)","(no public evidence)","Runs both a mechanical shop and a body shop, serving Jacksonville and Palatka 24 hours a day.",https://equipsvcs.com/heavy-duty-truck-repair-jacksonville-fl/,"Name/cities/locations/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
23,B,7,Heavy Duty Truck and Tire Repair,heavydutytruckandtirerepair.com,Newark,NJ,(201) 324-0808,,,,2,"HD truck repair; tire; fleet service and maintenance","Two locations (Newark and Jersey City NJ) in a dense freight corridor. Tire operations add casing credits, which fail like cores.","Tire manufacturers (casing credit programs) — inferred from tire operations","(no public evidence)","Two North Jersey locations covering Newark and Jersey City.",https://www.heavydutytruckandtirerepair.com/heavy-duty-truck-repair,"Name/cities/phone/locations: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
24,B,7,West Power Services,westpowerservices.com,Nashville,TN,,,,,2,"Full-service commercial truck & trailer repair; all makes and models; advanced diagnostics","Two shops (Nashville and Goodlettsville TN) serving the I-40 and I-65 corridors. All-makes servicing means a broad multi-vendor parts mix.","(no public evidence)","(no public evidence)","Two shops covering the I-40 and I-65 corridors from Nashville and Goodlettsville.",https://westpowerservices.com/,"Name/cities/locations/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
25,B,7,Mobile Fleet Specialists of Birmingham,mobilefleetspecialists.com,Birmingham,AL,,,,,2,"Diesel & truck repair; commercial trucks and trailers","Two locations (Birmingham and Alabaster AL) serving commercial fleets.","(no public evidence)","(no public evidence)","Operates from both Birmingham and Alabaster locations.",https://mobilefleetspecialists.com/diesel-and-truck-repair/,"Name/cities/locations: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
26,B,7,Kustom Truck & Tire,kustomtruckandtire.com,Des Moines,IA,,,,,1,"Light-to-heavy duty truck repair; commercial fleet maintenance; trailer repair; roadside; tires","Publicly states a seven-bay facility outfitted for trailers of all types — well above the 5-technician median. Tire work adds casing credits.","Tire manufacturers (casing credit programs) — inferred from tire operations","(no public evidence)","Seven-bay facility fully outfitted to take trailers of all types and sizes.",https://www.kustomtruckandtire.com/services | https://www.kustomtruckandtire.com/services/trailer-repair,"Name/city/bays/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
27,B,7,Maryland Fleet Center,mdfleetcenter.com,Baltimore,MD,,,,,1,"Diesel truck repair; fleet maintenance services","Publicly states a 37,000 sq ft facility and 20+ years of fleet maintenance experience — a large independent with substantial parts throughput.","(no public evidence)","(no public evidence)","A 37,000 square foot facility with over 20 years in fleet maintenance.",https://www.mdfleetcenter.com/ | https://www.mdfleetcenter.com/diesel-truck-repair-shop,"Name/city/facility size/tenure: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
28,B,7,Columbia Fleet Service,UNKNOWN,Columbia,MD,410-799-2500,,,,1,"Full-service truck and trailer repair","Full-service truck and trailer shop operating since 1991 — over 30 years of vendor relationships in the Baltimore-Washington corridor.","(no public evidence)","(no public evidence)","Full-service truck and trailer repair shop since 1991.",https://www.yelp.com/search?cflt=truckrepair&find_loc=Baltimore%2C+MD,"Name/phone/tenure: from search summary. Website: NOT FOUND. Email: NOT VERIFIED.",Not started,,Find website; verify phone; find owner name
29,B,7,Circle M Auto & Truck Repair,circlemautoandtruckrepair.com,Bakersfield,CA,,,,,1,"Fleet diesel repair; fleet maintenance; ASE-certified diesel mechanics","Family-owned with three generations in operations and fleet logistics in the California Central Valley — a major agricultural freight hub.","(no public evidence)","(no public evidence)","Family-owned with three generations of experience in operations and fleet logistics in the Central Valley.",https://www.circlemautoandtruckrepair.com/,"Name/city/ownership: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
30,B,7,Advanced Distribution Co,alltheparts.com,Bakersfield,CA,,,,,1,"HD truck & trailer repair; brakes; drivelines; wet kits & PTOs; clutches & flywheels; hydraulics; suspensions; differentials; transmissions","Runs a parts distribution business AND a repair shop. Differentials, transmissions, clutches and hydraulics are the highest-core-value categories in the industry.","Direct manufacturer accounts implied by parts distribution operation","(no public evidence)","Combines parts distribution with a repair shop doing differentials, transmissions, clutches, wet kits and hydraulics.",https://alltheparts.com/services/,"Name/city/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
31,B,7,Trico Heavy Duty Truck Parts & Service,tricotrucks.com,Belle Chasse,LA,(504) 391-2220,,,,1,"HD diesel truck repair; parts and service for big rigs, tractor trailers, commercial trucks","Runs both a heavy-duty parts business and a service operation for the New Orleans metro — dual role means high purchasing volume and complex credit flows.","Direct manufacturer accounts implied by parts operation","(no public evidence)","Operates as both a heavy-duty parts supplier and a service shop for the New Orleans metro from Belle Chasse.",https://www.tricotrucks.com/ | https://www.tricotrucks.com/about-Trico-Trucks-New-Orleans.html,"Name/city/phone/services: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
32,B,7,Suburban Car and Truck Repair,suburbancarandtruck.com,Cleveland,OH,,,,,1,"Cars, light, medium and heavy-duty trucks up to Class A; fleet maintenance","Family-owned and operated serving greater Cleveland since 1975 — nearly 50 years of vendor relationships. Services up to Class A.","(no public evidence)","(no public evidence)","Family-owned and operated in greater Cleveland since 1975.",https://suburbancarandtruck.com/,"Name/city/tenure/ownership: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
33,B,7,Pittsburgh Truck Center,pghtruckcenter.com,Pittsburgh,PA,,,,,1,"Light, medium and heavy-duty truck and trailer service, all makes and models","Family-owned with decades of experience servicing fleets. All-makes servicing means a broad multi-vendor parts mix.","(no public evidence)","(no public evidence)","Family-owned company with decades of experience servicing all makes and models of trucks and trailers.",https://pghtruckcenter.com/,"Name/city/ownership: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
34,B,7,Dirk's Truck Repair,dirkstruckrepair.com,Lakewood,WA,,,,,1,"Certified diesel truck repair; Tacoma and Pierce County","Operating since 1979 — over 45 years of vendor relationships in the Seattle-Tacoma freight corridor.","(no public evidence)","(no public evidence)","Providing certified diesel truck repair in greater Tacoma and Pierce County since 1979.",https://www.dirkstruckrepair.com/,"Name/city/tenure: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
35,B,7,Alpha Fleet Service (Tacoma Truck Repair Center),tacomatruck.repair,Milton,WA,253-231-5500,,,,1,"Medium & heavy-duty truck repair; full-service preventative maintenance; 24-hour roadside","Operating in Milton WA since 2008 with a full PM program. PM contracts mean recurring, high-volume parts purchasing.","(no public evidence)","(no public evidence)","Operating from Milton, WA since 2008 with full-service preventative maintenance and 24-hour after-hours roadside.",https://tacomatruck.repair/ | https://tacomatruck.repair/medium-heavy-duty-trucks,"Name/city/phone/tenure: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
36,B,7,Robinson Truck & Trailer Repair,robinsontruckandtrailerrepair.com,Woodward,IA,,,,,2,"Diesel repair; engine diagnostics; brakes; hydraulics; electrical; suspension; DOT; towing; mobile service","Family-owned with 25+ years of diesel experience, operating mobile teams from two Iowa bases (Woodward and Melcher-Dallas).","(no public evidence)","(no public evidence)","Family-owned with over 25 years in the diesel field, running mobile teams from Woodward and Melcher-Dallas.",https://robinsontruckandtrailerrepair.com/,"Name/cities/ownership/tenure: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
37,B,7,A & A Truck & Trailer Repair,aandatruckrepair.com,Des Moines,IA,,,,,1,"Full-service truck & trailer maintenance and repair; 24/7 roadside","Family owned and operated, full-service, covering Des Moines plus a 100-mile radius.","(no public evidence)","(no public evidence)","Family owned and operated, covering Des Moines plus a 100-mile radius.",https://www.aandatruckrepair.com/,"Name/city/ownership: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
38,B,7,Truck Doctor Inc,UNKNOWN,Oklahoma City,OK,405-475-2735,,,,1,"Truck, trailer and tire repair/service; heavy-duty towing; 24/7 emergency road service","Family owned, ASE Certified Master Mechanics with 30+ years of experience. Tire service adds casing credits alongside truck cores.","Tire manufacturers (casing credit programs) — inferred from tire operations","(no public evidence)","Family owned with ASE Certified Master Mechanics and over 30 years of experience; after-hours line 866-491-2735.",https://www.4roadservice.com/tulsa-oklahoma/truck-repair,"Name/city/phone/ownership: from search summary. Website: NOT FOUND. Email: NOT VERIFIED.",Not started,,Find website; verify phone; find owner name
39,B,7,Gary Johnston Truck & Auto Repair,johnstonautorepair.com,Tulsa,OK,(918) 838-0892,,,,1,"Auto repair; diesel repair; BG services","Family owned, in business in Tulsa since 1985 — nearly 40 years of vendor relationships.","BG Products (named as a service line on their site)","(no public evidence)","Family owned and providing car and diesel care in Tulsa since 1985.",https://johnstonautorepair.com/,"Name/city/phone/tenure/ownership: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; confirm heavy-duty share of business
40,B,7,Hoffmeier Truck Repair,hoffmeier.com,Tulsa,OK,918-428-5645,,,,1,"Diesel engine repair; semi-truck maintenance","Established Tulsa diesel engine and semi-truck maintenance shop at a fixed address — engine work carries the highest core values.","(no public evidence)","(no public evidence)","Diesel engine repair and semi-truck maintenance at 3302 N. Lewis Avenue, Tulsa.",https://www.hoffmeier.com/diesel-repair-mechanic-semi-truck-tulsa/,"Name/city/address/phone: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
41,B,7,Fleet Service of Tulsa,fleetserviceoftulsa.com,Tulsa,OK,(918) 973-5338,,,,2,"Diesel engine repair; heavy-duty truck engine service; oilfield services","Two Tulsa locations (West and East). Oilfield service work adds heavy equipment and hydraulic cores on top of truck cores.","(no public evidence)","(no public evidence)","Two Tulsa shops (West and East) with an oilfield services line alongside diesel engine repair.",https://fleetserviceoftulsa.com/ | https://fleetserviceoftulsa.com/diesel-engine-repair/,"Name/city/locations/services: search-verified. Phone shown as (918) 97-FLEET on site — digits inferred, MUST VERIFY. Email: NOT VERIFIED.",Not started,,VERIFY PHONE (site lists vanity number); find owner name
42,B,7,Capital Fleet Services,capitalfleetva.com,Chester,VA,804-899-8200,,,,1,"Truck, fleet and heavy equipment repair; trailer structural repair; brakes; lighting/electrical; suspension; roll-up doors; floor replacement","Services trucks, fleets AND heavy equipment. Trailer structural work and heavy equipment hydraulics both carry high-value parts and cores.","(no public evidence)","(no public evidence)","Repairs trucks, fleets and heavy equipment from 11924 Old Stage Rd in Chester, including trailer floors and roll-up doors.",https://www.capitalfleetva.com/ | https://www.capitalfleetva.com/services/trailer-repair-r3v33,"Name/city/address/phone/services: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
43,B,7,Complete HTR,completehtr.com,Phoenix,AZ,,,,,1,"HD truck, trailer & equipment repair; maintenance; diagnostics; emergency response; fleet maintenance programs","Covers trucks, trailers AND equipment across Greater Phoenix, with tailored fleet maintenance programs — recurring high-volume parts purchasing.","(no public evidence)","(no public evidence)","Runs tailored fleet maintenance programs built around each customer's service intervals and compliance requirements, from 2450 S 7th Street.",https://www.completehtr.com/ | https://www.completehtr.com/repair,"Name/city/address/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
44,B,7,Sam's Truck & Trailer,toledotruckrepair.com,Toledo,OH,,,,,1,"Heavy-duty truck and trailer repair; 24/7 emergency","NAPA certified — confirmed vendor relationship, which means a NAPA account with statements, returns and core credits to reconcile.","NAPA (site states NAPA Certified)","(no public evidence)","Publicly identifies as a NAPA Certified truck repair shop in Toledo.",https://toledotruckrepair.com/,"Name/city/NAPA affiliation: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name — LEAD WITH NAPA ACCOUNT IN OUTREACH
45,B,7,Superior Truck Service Inc,superiortruckservicenc.com,Charlotte,NC,(704) 598-6243,,,,1,"DOT inspections; diesel repairs; oil changes; clutch repairs; heavy-duty trucks","NAPA truck service center — confirmed vendor relationship. Clutch work carries high core values.","NAPA (described as a NAPA truck service center)","(no public evidence)","A NAPA truck service center handling diesel trucks, DOT inspections and clutch work in Charlotte.",https://www.superiortruckservicenc.com/,"Name/city/phone/NAPA affiliation: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner — LEAD WITH NAPA ACCOUNT IN OUTREACH
46,B,7,W.W. Williams,wwwilliams.com,Birmingham,AL,,,,,Many,"Truck repair; transmission service; routine fleet maintenance; diesel","Certified team with decades of experience serving local fleets. Transmission service carries very high core values.","(no public evidence)","(no public evidence)","Decades-long presence serving Alabama fleets with transmission service and fleet maintenance.",https://www.wwwilliams.com/location/birmingham-al/,"Name/city/services: search-verified. Phone/email/location count: NOT VERIFIED.",Not started,,"Confirm size — national footprint may exceed ICP and imply a controller"
47,B,7,Diesel Pro Kansas City,dieselprokansascity.com,Kansas City,MO,,,,,1,"Freightliner, Volvo, Peterbilt, Mack & International repair; brakes; transmission service; hydraulic cylinder repair; trailer repair; fleet maintenance; DOT","Family-run, servicing five OEM truck brands. Multi-OEM servicing means accounts at multiple dealer parts counters, each with its own statement and core rules.","Multiple OEM dealer counters implied by Freightliner, Volvo, Peterbilt, Mack and International servicing","(no public evidence)","Family-run shop servicing Freightliner, Volvo, Peterbilt, Mack and International, with hydraulic cylinder repair in-house.",https://www.dieselprokansascity.com/,"Name/city/ownership/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; find owner name
48,B,7,Champion FleetCare,championfleetcare.com,Lenexa,KS,(913) 498-9999,,,,1,"Semi trucks; heavy duty; box trucks; service vehicles; pickups; vans; motorhomes; RVs; buses; trailers","Services a very wide vehicle mix (semi through RV and bus), which means an unusually broad parts vendor set and more reconciliation surface.","(no public evidence)","(no public evidence)","Handles everything from semi trucks and buses to motorhomes and trailers from 13711 W 107th St in Lenexa.",https://www.championfleetcare.com/ | https://www.championfleetcare.com/services/diesel-truck-repair,"Name/city/address/phone/services: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
49,B,7,Gerber Commercial,gerberfleet.com,Grand Rapids,MI,(616) 608-8360,,,,Multi,"Truck / trailer / heavy duty repair; collision estimating","Multi-location commercial truck and trailer repair. Collision work adds a separate, insurance-driven vendor channel on top of mechanical parts.","(no public evidence)","(no public evidence)","Commercial truck, trailer and heavy-duty repair from 7580 Expressway Dr in Grand Rapids.",https://www.gerberfleet.com/locations/grand-rapids-mi,"Name/city/address/phone: search-verified. Email/location count: NOT VERIFIED.",Not started,,"Confirm independence — verify parent company before outreach"
